,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
14897,24,Opponent19,Opponent19_D2,Opponent19_G1,2H,1050.165649,Simple pass,11,87,10.0,41.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383
14898,24,Opponent19,Opponent19_G1,Opponent19_F2,2H,1052.6640120000004,Launch,10,41,59.0,24.0,G,G1,13,F2,8,"(13, 8)",11,F,"('G', 'F')",73
14899,24,Opponent19,Opponent19_F2,Opponent19_M5,2H,1060.3806000000004,Simple pass,60,12,46.0,19.0,F,F2,8,M5,19,"(8, 19)",19,M,"('F', 'M')",680
14900,24,Opponent19,Opponent19_M5,Opponent19_D1,2H,1060.5998310000002,Simple pass,46,19,59.0,2.0,M,M5,19,D1,0,"(19, 0)",66,D,"('M', 'D')",2499
14901,24,Opponent19,Opponent19_D1,Opponent19_M1,2H,1069.0437250000002,Simple pass,72,24,65.0,37.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
14902,24,Opponent19,Opponent19_M1,Opponent19_M5,2H,1070.725985,Simple pass,65,37,68.0,21.0,M,M1,15,M5,19,"(15, 19)",81,M,"('M', 'M')",2615
14903,24,Opponent19,Opponent19_D3,Opponent19_G1,2H,1104.5905780000003,Head pass,18,35,13.0,36.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383
14904,24,Opponent19,Opponent19_D2,Opponent19_D4,2H,1126.7932,Simple pass,48,40,42.0,58.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
14905,24,Opponent19,Opponent19_D4,Opponent19_M4,2H,1128.742365,Simple pass,42,58,63.0,73.0,D,D4,3,M4,18,"(3, 18)",100,M,"('D', 'M')",2526
14923,24,Opponent19,Opponent19_D1,Opponent19_M5,2H,1225.139427,Simple pass,17,27,30.0,27.0,D,D1,0,M5,19,"(0, 19)",59,M,"('D', 'M')",2526
14924,24,Opponent19,Opponent19_M5,Opponent19_F1,2H,1226.017694,Simple pass,30,27,34.0,36.0,M,M5,19,F1,7,"(19, 7)",30,F,"('M', 'F')",809
14925,24,Opponent19,Opponent19_F1,Opponent19_M3,2H,1229.3199539999996,Simple pass,34,36,59.0,2.0,F,F1,7,M3,17,"(7, 17)",39,M,"('F', 'M')",680
14926,24,Opponent19,Opponent19_M3,Opponent19_F2,2H,1234.291768,Simple pass,59,2,65.0,22.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
14927,24,Opponent19,Opponent19_F2,Opponent19_M5,2H,1237.333592,Simple pass,65,22,56.0,27.0,F,F2,8,M5,19,"(8, 19)",19,M,"('F', 'M')",680
14929,24,Opponent19,Opponent19_D4,Opponent19_M1,2H,1269.7255489999998,Head pass,73,75,76.0,81.0,D,D4,3,M1,15,"(3, 15)",136,M,"('D', 'M')",2526
14932,24,Opponent19,Opponent19_M1,Opponent19_F1,2H,1323.520313,Simple pass,45,68,61.0,84.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809
14942,24,Opponent19,Opponent19_M1,Opponent19_F2,2H,1366.4622900000004,Simple pass,32,49,38.0,36.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809
14943,24,Opponent19,Opponent19_F2,Opponent19_M3,2H,1366.809397,Simple pass,38,36,32.0,32.0,F,F2,8,M3,17,"(8, 17)",34,M,"('F', 'M')",680
14948,24,Opponent19,Opponent19_D1,Opponent19_M3,2H,1415.6347800000005,Head pass,26,3,35.0,3.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
14964,24,Opponent19,Opponent19_D4,Opponent19_M4,2H,1546.9283770000004,Simple pass,63,91,80.0,92.0,D,D4,3,M4,18,"(3, 18)",100,M,"('D', 'M')",2526
14965,24,Opponent19,Opponent19_M5,Opponent19_M3,2H,1576.7872420000006,Simple pass,39,23,43.0,34.0,M,M5,19,M3,17,"(19, 17)",62,M,"('M', 'M')",2615
14966,24,Opponent19,Opponent19_F2,Opponent19_F2,2H,1583.7361039999994,Simple pass,59,6,65.0,8.0,F,F2,8,F2,8,"(8, 8)",6,F,"('F', 'F')",169
14967,24,Opponent19,Opponent19_M1,Opponent19_F1,2H,1682.7340590000006,High pass,54,25,82.0,6.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809
14968,24,Opponent19,Opponent19_F1,Opponent19_M3,2H,1684.4828580000005,Simple pass,82,6,76.0,4.0,F,F1,7,M3,17,"(7, 17)",39,M,"('F', 'M')",680
14969,24,Opponent19,Opponent19_M1,Opponent19_M5,2H,1694.30317,Simple pass,61,6,60.0,31.0,M,M1,15,M5,19,"(15, 19)",81,M,"('M', 'M')",2615
14976,24,Opponent19,Opponent19_D4,Opponent19_M4,2H,1879.3644980000001,Simple pass,18,91,30.0,93.0,D,D4,3,M4,18,"(3, 18)",100,M,"('D', 'M')",2526
14978,24,Opponent19,Opponent19_F1,Opponent19_D1,2H,1975.548897,Simple pass,76,17,74.0,3.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336
14980,24,Opponent19,Opponent19_D3,Opponent19_M4,2H,1980.802742,Launch,51,20,71.0,54.0,D,D3,2,M4,18,"(2, 18)",54,M,"('D', 'M')",2526
14981,24,Opponent19,Opponent19_M4,Opponent19_D1,2H,1991.942223,Simple pass,94,3,77.0,7.0,M,M4,18,D1,0,"(18, 0)",75,D,"('M', 'D')",2499
14982,24,Opponent19,Opponent19_D1,Opponent19_M3,2H,1993.048329,Simple pass,77,7,92.0,18.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
14984,24,Opponent19,Opponent19_D1,Opponent19_M5,2H,2114.792166,Head pass,53,9,63.0,24.0,D,D1,0,M5,19,"(0, 19)",59,M,"('D', 'M')",2526
14985,24,Opponent19,Opponent19_M1,Opponent19_M1,2H,2123.488858,Head pass,47,21,53.0,24.0,M,M1,15,M1,15,"(15, 15)",7,M,"('M', 'M')",2615
14992,24,Opponent19,Opponent19_M4,Opponent19_D4,2H,2181.376537,Simple pass,64,84,79.0,95.0,M,M4,18,D4,3,"(18, 3)",101,D,"('M', 'D')",2499
14993,24,Opponent19,Opponent19_D4,Opponent19_F2,2H,2184.174884,Cross,79,95,88.0,55.0,D,D4,3,F2,8,"(3, 8)",29,F,"('D', 'F')",607
14994,24,Opponent19,Opponent19_D1,Opponent19_M1,2H,2219.729255,Simple pass,26,21,31.0,14.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
14997,24,Opponent19,Opponent19_D1,Opponent19_D3,2H,2279.384091,Simple pass,46,44,33.0,42.0,D,D1,0,D3,2,"(0, 2)",99,D,"('D', 'D')",1795
14998,24,Opponent19,Opponent19_D3,Opponent19_F2,2H,2281.439534,Launch,33,42,63.0,31.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607
14999,24,Opponent19,Opponent19_D1,Opponent19_F2,2H,2305.7844760000003,Simple pass,44,8,54.0,40.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
15000,24,Opponent19,Opponent19_F2,Opponent19_M2,2H,2308.2132699999997,Simple pass,54,40,45.0,42.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680
15001,24,Opponent19,Opponent19_M2,Opponent19_D4,2H,2309.999849,Simple pass,45,42,45.0,80.0,M,M2,16,D4,3,"(16, 3)",89,D,"('M', 'D')",2499
15002,24,Opponent19,Opponent19_D4,Opponent19_M4,2H,2312.51819,Simple pass,45,80,58.0,92.0,D,D4,3,M4,18,"(3, 18)",100,M,"('D', 'M')",2526
15003,24,Opponent19,Opponent19_M4,Opponent19_D4,2H,2315.055518,Simple pass,58,92,40.0,78.0,M,M4,18,D4,3,"(18, 3)",101,D,"('M', 'D')",2499
15004,24,Opponent19,Opponent19_D4,Opponent19_F2,2H,2316.0919440000002,Simple pass,40,78,64.0,82.0,D,D4,3,F2,8,"(3, 8)",29,F,"('D', 'F')",607
15005,24,Opponent19,Opponent19_F2,Opponent19_D1,2H,2324.657285,Simple pass,72,51,92.0,16.0,F,F2,8,D1,0,"(8, 0)",16,D,"('F', 'D')",336
15006,24,Opponent19,Opponent19_D1,Opponent19_F2,2H,2327.4395430000004,Cross,92,16,88.0,60.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
15013,24,Opponent19,Opponent19_D1,Opponent19_F2,2H,2392.262334,High pass,18,26,45.0,45.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
15016,24,Opponent19,Opponent19_D4,Opponent19_M6,2H,2430.542728000001,Launch,46,46,62.0,21.0,D,D4,3,M6,20,"(3, 20)",25,M,"('D', 'M')",2526
15018,24,Opponent19,Opponent19_M2,Opponent19_M4,2H,2497.784934,Simple pass,54,81,56.0,94.0,M,M2,16,M4,18,"(16, 18)",78,M,"('M', 'M')",2615
15019,24,Opponent19,Opponent19_M4,Opponent19_F2,2H,2500.366764000001,Simple pass,56,94,61.0,85.0,M,M4,18,F2,8,"(18, 8)",32,F,"('M', 'F')",809
15020,24,Opponent19,Opponent19_F2,Opponent19_F2,2H,2502.177768,Simple pass,61,85,69.0,90.0,F,F2,8,F2,8,"(8, 8)",6,F,"('F', 'F')",169
15021,24,Opponent19,Opponent19_D4,Opponent19_M1,2H,2504.372797,Simple pass,44,85,47.0,63.0,D,D4,3,M1,15,"(3, 15)",136,M,"('D', 'M')",2526
15022,24,Opponent19,Opponent19_M1,Opponent19_D3,2H,2506.005932,Simple pass,47,63,53.0,25.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
15023,24,Opponent19,Opponent19_D3,Opponent19_D1,2H,2508.936225000001,Simple pass,53,25,57.0,2.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
15026,24,Opponent19,Opponent19_D3,Opponent19_G1,2H,2655.503345,Simple pass,20,17,5.0,23.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383
15027,24,Opponent19,Opponent19_G1,Opponent19_M6,2H,2656.742456,Launch,5,23,44.0,11.0,G,G1,13,M6,20,"(13, 20)",4,M,"('G', 'M')",87
15031,24,Opponent19,Opponent19_G1,Opponent19_F2,2H,2712.242398000001,Launch,13,37,71.0,26.0,G,G1,13,F2,8,"(13, 8)",11,F,"('G', 'F')",73
15043,24,Opponent19,Opponent19_M5,Opponent19_F2,2H,2806.339384,Simple pass,56,13,81.0,17.0,M,M5,19,F2,8,"(19, 8)",25,F,"('M', 'F')",809
15056,24,Opponent19,Opponent19_M5,Opponent19_M6,2H,2954.337652,Head pass,75,24,85.0,8.0,M,M5,19,M6,20,"(19, 20)",31,M,"('M', 'M')",2615
15058,24,Opponent19,Opponent19_D5,Opponent19_F2,2H,2981.5133480000004,Head pass,27,43,50.0,45.0,D,D5,4,F2,8,"(4, 8)",22,F,"('D', 'F')",607
15062,24,Opponent19,Opponent19_M6,Opponent19_D1,2H,3017.3707000000004,Simple pass,39,6,33.0,4.0,M,M6,20,D1,0,"(20, 0)",21,D,"('M', 'D')",2499
15063,24,Opponent19,Opponent19_D1,Opponent19_F2,2H,3018.538864,High pass,33,4,59.0,33.0,D,D1,0,F2,8,"(0, 8)",39,F,"('D', 'F')",607
15064,24,Opponent19,Opponent19_D1,Opponent19_D4,2H,3079.100862,Simple pass,56,26,51.0,61.0,D,D1,0,D4,3,"(0, 3)",79,D,"('D', 'D')",1795
15065,24,Opponent19,Opponent19_D4,Opponent19_D5,2H,3081.822855000001,Simple pass,51,61,38.0,69.0,D,D4,3,D5,4,"(3, 4)",37,D,"('D', 'D')",1795
15066,24,Opponent19,Opponent19_D5,Opponent19_M6,2H,3084.4370630000008,High pass,38,69,88.0,73.0,D,D5,4,M6,20,"(4, 20)",31,M,"('D', 'M')",2526
15067,24,Opponent19,Opponent19_D5,Opponent19_F2,2H,3108.477289000001,Head pass,39,59,62.0,41.0,D,D5,4,F2,8,"(4, 8)",22,F,"('D', 'F')",607
15073,25,Opponent10,Opponent10_M2,Opponent10_M3,1H,120.656881,Simple pass,62,12,58.0,9.0,M,M2,16,M3,17,"(16, 17)",127,M,"('M', 'M')",2615
15076,25,Opponent10,Opponent10_M3,Opponent10_M2,1H,128.55294700000002,Simple pass,47,13,61.0,6.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
15086,25,Opponent10,Opponent10_G1,Opponent10_D5,1H,252.339037,Hand pass,12,37,24.0,14.0,G,G1,13,D5,4,"(13, 4)",20,D,"('G', 'D')",331
15087,25,Opponent10,Opponent10_D5,Opponent10_G1,1H,268.28654500000005,Simple pass,13,27,4.0,46.0,D,D5,4,G1,13,"(4, 13)",25,G,"('D', 'G')",383
15088,25,Opponent10,Opponent10_G1,Opponent10_M5,1H,272.017803,High pass,4,46,39.0,86.0,G,G1,13,M5,19,"(13, 19)",13,M,"('G', 'M')",87
15089,25,Opponent10,Opponent10_M5,Opponent10_M7,1H,275.17832200000004,Simple pass,39,86,18.0,84.0,M,M5,19,M7,21,"(19, 21)",24,M,"('M', 'M')",2615
15090,25,Opponent10,Opponent10_M7,Opponent10_M3,1H,277.171655,Simple pass,18,84,25.0,73.0,M,M7,21,M3,17,"(21, 17)",25,M,"('M', 'M')",2615
15091,25,Opponent10,Opponent10_M3,Opponent10_F2,1H,278.93320900000003,Simple pass,25,73,35.0,76.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
15092,25,Opponent10,Opponent10_F2,Opponent10_M3,1H,280.285576,Simple pass,35,76,30.0,55.0,F,F2,8,M3,17,"(8, 17)",34,M,"('F', 'M')",680
15093,25,Opponent10,Opponent10_D3,Opponent10_F2,1H,321.963634,Simple pass,29,12,42.0,12.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607
15094,25,Opponent10,Opponent10_F2,Opponent10_M5,1H,325.92185400000005,Simple pass,42,12,19.0,6.0,F,F2,8,M5,19,"(8, 19)",19,M,"('F', 'M')",680
15095,25,Opponent10,Opponent10_M5,Opponent10_D5,1H,327.968304,Simple pass,19,6,17.0,23.0,M,M5,19,D5,4,"(19, 4)",45,D,"('M', 'D')",2499
15096,25,Opponent10,Opponent10_D5,Opponent10_M3,1H,330.619235,Simple pass,17,23,25.0,27.0,D,D5,4,M3,17,"(4, 17)",53,M,"('D', 'M')",2526
15097,25,Opponent10,Opponent10_M3,Opponent10_D6,1H,332.6761850000001,Simple pass,25,27,25.0,56.0,M,M3,17,D6,5,"(17, 5)",40,D,"('M', 'D')",2499
15098,25,Opponent10,Opponent10_D6,Opponent10_M7,1H,335.484657,Simple pass,25,56,30.0,87.0,D,D6,5,M7,21,"(5, 21)",25,M,"('D', 'M')",2526
15099,25,Opponent10,Opponent10_M7,Opponent10_M3,1H,337.43351600000005,Simple pass,30,87,33.0,56.0,M,M7,21,M3,17,"(21, 17)",25,M,"('M', 'M')",2615
15100,25,Opponent10,Opponent10_M3,Opponent10_D5,1H,340.93776299999996,Simple pass,33,56,24.0,25.0,M,M3,17,D5,4,"(17, 4)",55,D,"('M', 'D')",2499
15101,25,Opponent10,Opponent10_D5,Opponent10_M6,1H,344.441325,Simple pass,24,25,38.0,33.0,D,D5,4,M6,20,"(4, 20)",31,M,"('D', 'M')",2526
15102,25,Opponent10,Opponent10_M6,Opponent10_D3,1H,346.96347099999997,Simple pass,38,33,47.0,3.0,M,M6,20,D3,2,"(20, 2)",22,D,"('M', 'D')",2499
15104,25,Opponent10,Opponent10_M7,Opponent10_D5,1H,406.47760100000005,Simple pass,41,82,27.0,54.0,M,M7,21,D5,4,"(21, 4)",16,D,"('M', 'D')",2499
15105,25,Opponent10,Opponent10_D5,Opponent10_D3,1H,413.570208,Simple pass,52,37,63.0,4.0,D,D5,4,D3,2,"(4, 2)",35,D,"('D', 'D')",1795
15106,25,Opponent10,Opponent10_D3,Opponent10_D5,1H,416.987496,Simple pass,63,4,46.0,36.0,D,D3,2,D5,4,"(2, 4)",44,D,"('D', 'D')",1795
15107,25,Opponent10,Opponent10_D5,Opponent10_F1,1H,421.567244,Simple pass,46,36,65.0,31.0,D,D5,4,F1,7,"(4, 7)",23,F,"('D', 'F')",607
15108,25,Opponent10,Opponent10_F1,Opponent10_M5,1H,423.034093,Simple pass,65,31,41.0,14.0,F,F1,7,M5,19,"(7, 19)",24,M,"('F', 'M')",680
15109,25,Opponent10,Opponent10_M5,Opponent10_D5,1H,425.300093,Simple pass,41,14,32.0,26.0,M,M5,19,D5,4,"(19, 4)",45,D,"('M', 'D')",2499
15110,25,Opponent10,Opponent10_D5,Opponent10_M6,1H,428.088512,Simple pass,32,26,44.0,55.0,D,D5,4,M6,20,"(4, 20)",31,M,"('D', 'M')",2526
15111,25,Opponent10,Opponent10_M6,Opponent10_D6,1H,429.35163700000004,Simple pass,44,55,27.0,71.0,M,M6,20,D6,5,"(20, 5)",23,D,"('M', 'D')",2499
15119,25,Opponent10,Opponent10_M3,Opponent10_F2,1H,491.920305,Simple pass,61,15,71.0,17.0,M,M3,17,F2,8,"(17, 8)",46,F,"('M', 'F')",809
15121,25,Opponent10,Opponent10_M6,Opponent10_M7,1H,510.469266,Simple pass,38,81,33.0,89.0,M,M6,20,M7,21,"(20, 21)",26,M,"('M', 'M')",2615
15122,25,Opponent10,Opponent10_M7,Opponent10_D5,1H,512.173968,Simple pass,33,89,27.0,29.0,M,M7,21,D5,4,"(21, 4)",16,D,"('M', 'D')",2499
15123,25,Opponent10,Opponent10_D5,Opponent10_D3,1H,517.186512,Simple pass,27,29,43.0,4.0,D,D5,4,D3,2,"(4, 2)",35,D,"('D', 'D')",1795
15124,25,Opponent10,Opponent10_D3,Opponent10_D5,1H,518.9296320000001,Simple pass,43,4,30.0,24.0,D,D3,2,D5,4,"(2, 4)",44,D,"('D', 'D')",1795
15125,25,Opponent10,Opponent10_D5,Opponent10_M2,1H,523.346535,High pass,30,24,65.0,80.0,D,D5,4,M2,16,"(4, 16)",27,M,"('D', 'M')",2526
15126,25,Opponent10,Opponent10_M2,Opponent10_M6,1H,528.671458,Simple pass,65,80,50.0,72.0,M,M2,16,M6,20,"(16, 20)",31,M,"('M', 'M')",2615
15127,25,Opponent10,Opponent10_M6,Opponent10_M7,1H,529.828519,Simple pass,50,72,58.0,94.0,M,M6,20,M7,21,"(20, 21)",26,M,"('M', 'M')",2615
15128,25,Opponent10,Opponent10_M7,Opponent10_D6,1H,532.2066990000001,Simple pass,58,94,38.0,75.0,M,M7,21,D6,5,"(21, 5)",15,D,"('M', 'D')",2499
15129,25,Opponent10,Opponent10_D6,Opponent10_D5,1H,535.744324,Simple pass,38,75,37.0,25.0,D,D6,5,D5,4,"(5, 4)",29,D,"('D', 'D')",1795
15130,25,Opponent10,Opponent10_D5,Opponent10_M5,1H,538.615707,High pass,37,25,69.0,3.0,D,D5,4,M5,19,"(4, 19)",50,M,"('D', 'M')",2526
15131,25,Opponent10,Opponent10_M5,Opponent10_D3,1H,541.826064,Simple pass,69,3,95.0,8.0,M,M5,19,D3,2,"(19, 2)",49,D,"('M', 'D')",2499
15132,25,Opponent10,Opponent10_D3,Opponent10_M5,1H,560.111038,Simple pass,96,6,89.0,6.0,D,D3,2,M5,19,"(2, 19)",38,M,"('D', 'M')",2526
15133,25,Opponent10,Opponent10_M6,Opponent10_G1,1H,573.539342,Simple pass,21,20,8.0,49.0,M,M6,20,G1,13,"(20, 13)",6,G,"('M', 'G')",79
15134,25,Opponent10,Opponent10_G1,Opponent10_M6,1H,578.1836099999999,Simple pass,8,49,22.0,37.0,G,G1,13,M6,20,"(13, 20)",4,M,"('G', 'M')",87
15135,25,Opponent10,Opponent10_M6,Opponent10_M7,1H,583.3941940000001,Simple pass,22,37,33.0,86.0,M,M6,20,M7,21,"(20, 21)",26,M,"('M', 'M')",2615
15136,25,Opponent10,Opponent10_M7,Opponent10_M3,1H,587.3585879999999,Simple pass,33,86,36.0,67.0,M,M7,21,M3,17,"(21, 17)",25,M,"('M', 'M')",2615
15137,25,Opponent10,Opponent10_M3,Opponent10_M7,1H,588.630097,Simple pass,36,67,27.0,87.0,M,M3,17,M7,21,"(17, 21)",22,M,"('M', 'M')",2615
15138,25,Opponent10,Opponent10_M7,Opponent10_M6,1H,590.297427,Simple pass,27,87,29.0,50.0,M,M7,21,M6,20,"(21, 20)",22,M,"('M', 'M')",2615
15139,25,Opponent10,Opponent10_M6,Opponent10_D3,1H,594.3620099999999,High pass,29,50,33.0,11.0,M,M6,20,D3,2,"(20, 2)",22,D,"('M', 'D')",2499
15140,25,Opponent10,Opponent10_D3,Opponent10_D5,1H,600.553784,Simple pass,33,11,25.0,21.0,D,D3,2,D5,4,"(2, 4)",44,D,"('D', 'D')",1795
15141,25,Opponent10,Opponent10_D5,Opponent10_F2,1H,606.195133,Simple pass,25,21,55.0,12.0,D,D5,4,F2,8,"(4, 8)",22,F,"('D', 'F')",607
15142,25,Opponent10,Opponent10_F2,Opponent10_D3,1H,607.947056,Simple pass,55,12,50.0,2.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336
15145,25,Opponent10,Opponent10_M7,Opponent10_G1,1H,667.982635,Head pass,17,82,10.0,54.0,M,M7,21,G1,13,"(21, 13)",4,G,"('M', 'G')",79
15146,25,Opponent10,Opponent10_G1,Opponent10_D5,1H,675.015284,Simple pass,10,54,24.0,34.0,G,G1,13,D5,4,"(13, 4)",20,D,"('G', 'D')",331
15147,25,Opponent10,Opponent10_D5,Opponent10_D3,1H,679.892147,Simple pass,24,34,49.0,4.0,D,D5,4,D3,2,"(4, 2)",35,D,"('D', 'D')",1795
15157,25,Opponent10,Opponent10_D6,Opponent10_M6,1H,722.896814,Head pass,20,39,31.0,25.0,D,D6,5,M6,20,"(5, 20)",13,M,"('D', 'M')",2526
15158,25,Opponent10,Opponent10_M6,Opponent10_D6,1H,723.783268,Simple pass,31,25,32.0,42.0,M,M6,20,D6,5,"(20, 5)",23,D,"('M', 'D')",2499
15159,25,Opponent10,Opponent10_D6,Opponent10_F2,1H,726.037797,Simple pass,32,42,47.0,28.0,D,D6,5,F2,8,"(5, 8)",9,F,"('D', 'F')",607
15161,25,Opponent10,Opponent10_D3,Opponent10_D3,1H,785.4713979999998,Simple pass,79,0,93.0,0.0,D,D3,2,D3,2,"(2, 2)",13,D,"('D', 'D')",1795
15162,25,Opponent10,Opponent10_F2,Opponent10_D3,1H,826.594171,Simple pass,94,2,90.0,2.0,F,F2,8,D3,2,"(8, 2)",27,D,"('F', 'D')",336
15163,25,Opponent10,Opponent10_D3,Opponent10_F1,1H,828.063341,Cross,90,2,91.0,42.0,D,D3,2,F1,7,"(2, 7)",42,F,"('D', 'F')",607
15165,25,Opponent10,Opponent10_D5,Opponent10_M2,1H,833.7214899999999,Simple pass,68,23,77.0,15.0,D,D5,4,M2,16,"(4, 16)",27,M,"('D', 'M')",2526
15166,25,Opponent10,Opponent10_M2,Opponent10_M3,1H,836.2189860000002,Simple pass,77,15,70.0,15.0,M,M2,16,M3,17,"(16, 17)",127,M,"('M', 'M')",2615
15167,25,Opponent10,Opponent10_M3,Opponent10_F1,1H,838.042117,Simple pass,70,15,78.0,49.0,M,M3,17,F1,7,"(17, 7)",59,F,"('M', 'F')",809
15168,25,Opponent10,Opponent10_F1,Opponent10_M5,1H,840.0892570000002,Simple pass,78,49,77.0,79.0,F,F1,7,M5,19,"(7, 19)",24,M,"('F', 'M')",680
15174,25,Opponent10,Opponent10_F2,Opponent10_M7,1H,916.203081,Simple pass,79,90,78.0,100.0,F,F2,8,M7,21,"(8, 21)",12,M,"('F', 'M')",680
15177,25,Opponent10,Opponent10_M6,Opponent10_M7,1H,962.822232,Simple pass,45,70,54.0,90.0,M,M6,20,M7,21,"(20, 21)",26,M,"('M', 'M')",2615
15178,25,Opponent10,Opponent10_M7,Opponent10_M6,1H,964.690798,Simple pass,54,90,40.0,75.0,M,M7,21,M6,20,"(21, 20)",22,M,"('M', 'M')",2615
15191,25,Opponent10,Opponent10_M3,Opponent10_M6,1H,1098.622087,Simple pass,33,32,31.0,39.0,M,M3,17,M6,20,"(17, 20)",41,M,"('M', 'M')",2615
15192,25,Opponent10,Opponent10_M6,Opponent10_D6,1H,1099.984142,Simple pass,31,39,22.0,55.0,M,M6,20,D6,5,"(20, 5)",23,D,"('M', 'D')",2499
15193,25,Opponent10,Opponent10_D6,Opponent10_M7,1H,1101.715022,Simple pass,22,55,33.0,90.0,D,D6,5,M7,21,"(5, 21)",25,M,"('D', 'M')",2526
15194,25,Opponent10,Opponent10_M7,Opponent10_M6,1H,1104.042917,Simple pass,33,90,40.0,73.0,M,M7,21,M6,20,"(21, 20)",22,M,"('M', 'M')",2615
15195,25,Opponent10,Opponent10_M6,Opponent10_M6,1H,1107.102836,Simple pass,40,73,52.0,74.0,M,M6,20,M6,20,"(20, 20)",3,M,"('M', 'M')",2615
15196,25,Opponent10,Opponent10_M5,Opponent10_M6,1H,1108.411327,Simple pass,52,94,68.0,74.0,M,M5,19,M6,20,"(19, 20)",31,M,"('M', 'M')",2615
15198,25,Opponent10,Opponent10_D5,Opponent10_M6,1H,1122.36834,Simple pass,33,58,57.0,64.0,D,D5,4,M6,20,"(4, 20)",31,M,"('D', 'M')",2526
15199,25,Opponent10,Opponent10_M6,Opponent10_M3,1H,1125.9515529999999,Simple pass,57,64,42.0,56.0,M,M6,20,M3,17,"(20, 17)",37,M,"('M', 'M')",2615
15200,25,Opponent10,Opponent10_M3,Opponent10_D3,1H,1128.013058,Simple pass,42,56,44.0,18.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
15201,25,Opponent10,Opponent10_D3,Opponent10_M2,1H,1133.014833,Simple pass,57,8,70.0,8.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
15202,25,Opponent10,Opponent10_M2,Opponent10_D3,1H,1135.0273029999998,Simple pass,70,8,54.0,4.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
15203,25,Opponent10,Opponent10_D3,Opponent10_M3,1H,1136.997734,Simple pass,54,4,45.0,26.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
15204,25,Opponent10,Opponent10_M3,Opponent10_M6,1H,1138.765926,Simple pass,45,26,46.0,40.0,M,M3,17,M6,20,"(17, 20)",41,M,"('M', 'M')",2615
15205,25,Opponent10,Opponent10_M6,Opponent10_D3,1H,1141.830277,Simple pass,46,40,45.0,5.0,M,M6,20,D3,2,"(20, 2)",22,D,"('M', 'D')",2499
15206,25,Opponent10,Opponent10_D3,Opponent10_M2,1H,1144.524569,Simple pass,45,5,65.0,3.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
15215,25,Opponent10,Opponent10_D5,Opponent10_M6,1H,1292.909234,Simple pass,26,17,33.0,26.0,D,D5,4,M6,20,"(4, 20)",31,M,"('D', 'M')",2526
15216,25,Opponent10,Opponent10_M6,Opponent10_D6,1H,1294.183177,Simple pass,33,26,24.0,49.0,M,M6,20,D6,5,"(20, 5)",23,D,"('M', 'D')",2499
15217,25,Opponent10,Opponent10_D6,Opponent10_M7,1H,1296.37021,Simple pass,24,49,38.0,84.0,D,D6,5,M7,21,"(5, 21)",25,M,"('D', 'M')",2526
15218,25,Opponent10,Opponent10_M7,Opponent10_D6,1H,1298.193013,Simple pass,38,84,26.0,63.0,M,M7,21,D6,5,"(21, 5)",15,D,"('M', 'D')",2499
